Nome,Categoria,Preco,Unid_Receita,Unid_Compra,Kcal_Unid,Fator_Conv,Ativo,Observacoes
Frango peito sem pele,Proteina Animal,32.90,g,kg,1.65,1000,TRUE,Sem pele sem osso
Carne bovina alcatra,Proteina Animal,48.90,g,kg,1.92,1000,TRUE,Corte nobre
Carne bovina patinho,Proteina Animal,42.90,g,kg,1.78,1000,TRUE,Corte magro
Carne bovina contrafile,Proteina Animal,56.90,g,kg,2.50,1000,TRUE,Corte premium
Carne suina lombo,Proteina Animal,38.90,g,kg,2.63,1000,TRUE,Corte magro
Tilapia file,Proteina Animal,45.90,g,kg,0.96,1000,TRUE,Peixe de cultivo
Salmao file,Proteina Animal,89.90,g,kg,2.08,1000,TRUE,Rico em omega 3
Sardinha fresca,Proteina Animal,28.90,g,kg,2.08,1000,TRUE,Peixe azul
Camarao limpo,Proteina Animal,78.90,g,kg,0.91,1000,TRUE,Sem casca
Ovo de galinha,Proteina Animal,18.90,unidade,cartela,1.55,12,TRUE,Tipo extra grande
Queijo mussarela,Proteina Animal,48.90,g,kg,2.80,1000,TRUE,Fatia
Queijo ricota,Proteina Animal,32.90,g,kg,1.74,1000,TRUE,Fresca
Iogurte natural,Proteina Animal,12.90,g,pote,0.51,500,TRUE,Sem acucar
Leite integral,Proteina Animal,5.89,ml,L,0.64,1000,TRUE,Tipo A
Arroz branco agulhinha,Carboidrato,6.90,g,kg,1.28,1000,TRUE,Tipo 1 longo
Arroz integral,Carboidrato,8.90,g,kg,1.11,1000,TRUE,Graos inteiros
Macarrao espaguete,Carboidrato,7.49,g,kg,3.71,1000,TRUE,Grano duro
Macarrao integral,Carboidrato,12.90,g,kg,3.24,1000,TRUE,Rico em fibras
Batata inglesa,Carboidrato,7.49,g,kg,0.87,1000,TRUE,Lavada
Batata doce,Carboidrato,6.90,g,kg,1.18,1000,TRUE,Roxa ou branca
Mandioca,Carboidrato,4.90,g,kg,1.25,1000,TRUE,Descascada
Inhame,Carboidrato,8.90,g,kg,0.97,1000,TRUE,Cozido
Quinoa em graos,Carboidrato,28.90,g,kg,3.68,1000,TRUE,Superalimento
Aveia em flocos,Carboidrato,12.90,g,kg,3.94,1000,TRUE,Integral
Granola tradicional,Carboidrato,18.90,g,kg,4.71,1000,TRUE,Com frutas secas
Pao frances,Carboidrato,12.90,g,kg,3.00,1000,TRUE,Tradicional
Pao integral,Carboidrato,16.90,g,kg,2.53,1000,TRUE,Com graos
Farinha de trigo,Carboidrato,4.90,g,kg,3.64,1000,TRUE,Tipo 1
Farinha de mandioca,Carboidrato,8.90,g,kg,3.65,1000,TRUE,Torrada
Fuba de milho,Carboidrato,6.90,g,kg,3.65,1000,TRUE,Fino
